ProjectName,Street,City,State,Zipcode,full_address,CertLevel,CertDate,LEEDSystemVersionDisplayName,GrossFloorArea,ProjectTypes,OwnerOrganization
Brookfield NY Headquarters,4 World Financial Center,New York,NY,10282,"4 World Financial Center, New York, NY 10282",Gold,2016-03-21 00:00:00,LEED-CI v2009,96577.0,Office: Administrative/Professional,Brookfield
300 Madison,300 Madison Avenue,New York,NY,10017,"300 Madison Avenue, New York, NY 10017",,,LEED-EB:OM v2009,1071012.0,Office: Financial,BFP 300 Madison II LLC
245 Park Avenue RECERTIFICATION,245 Park Avenue,New York,NY,10167,"245 Park Avenue, New York, NY 10167",,,LEED-EB:OM v2009,1592125.0,Office: Administrative/Professional,Brookfield Financial Properties
200 Liberty Street RECERTIFICATION,200 Liberty Street,New York,NY,10281,"200 Liberty Street, New York, NY 10281",Gold,2014-06-05 00:00:00,LEED-EB:OM v2009,1439190.0,Office: Administrative/Professional,Brookfield
2 Grand Central Tower,140 East 45th Street,New York,NY,10017,"140 East 45th Street, New York, NY 10017",Silver,2013-04-17 00:00:00,LEED-EB:OM v2009,649883.0,Office: Administrative/Professional,"NRCF 2GCT, LLC"
2239 Broadway,2239 Broadway Avenue,New York,NY,10024,"2239 Broadway Avenue, New York, NY 10024",Silver,2013-07-29 00:00:00,LEED-CI v2009,2831.0,Retail: Open Shopping Center,Verizon Wireless
420 Lexington,420 Lexington Ave,New York,NY,10017,"420 Lexington Ave, New York, NY 10017",Silver,2013-07-29 00:00:00,LEED-CI v2009,3347.0,Retail: Open Shopping Center, 
75 Varick,75 Varick Street,New York,NY,10013,"75 Varick Street, New York, NY 10013",Silver,2014-09-26 00:00:00,LEED-EB:OM v2009,984017.0,Office: Mixed-Use,Trinity Real Estate
261 Hudson Street,261 Hudson St.,New York,NY,10013,"261 Hudson St., New York, NY 10013",Gold,2018-11-30 00:00:00,LEED-NC v2009,204332.0,Multi-Family Residential: Apartment,Bridge Land Hudson LLC
Morrison-Foerster LLP,250 West 55th Street,New York,NY,10019,"250 West 55th Street, New York, NY 10019",Platinum,2014-09-22 00:00:00,LEED-CI v2009,120996.0,Office: Financial,Morrison & Forester LLP
Corn Exchange,81 East 125th Street,New York,NY,10035,"81 East 125th Street, New York, NY 10035",Silver,2015-11-19 00:00:00,LEED-CS v2009,38170.0,Office: Mixed-Use,"125th Street Equities, LLC"
NK Architects/UAI Offices,Woolworth Building,New York,NY,10279-2206,"Woolworth Building, New York, NY 10279-2206",,,LEED-CI v2009,3400.0,Office: Administrative/Professional,NK Architects & UAI
SL Green - 420 Lexington Ave,420 Lexington Ave,New York,NY,10170,"420 Lexington Ave, New York, NY 10170",Certified,2014-06-09 00:00:00,LEED-CI v2009,37635.0,Office: Other Office,SL Green
One SOHO Square,161 6th Ave,New York,NY,10013,"161 6th Ave, New York, NY 10013",,,LEED-EB:OM v2009,550000.0,Office: Administrative/Professional,Stellar Management
Coty - ESB,350 Fifth Avenue,New York,NY,10001,"350 Fifth Avenue, New York, NY 10001",Gold,2014-07-22 00:00:00,LEED-CI v2009,187226.0,Office: Other Office,Coty
MEETH Opthalmology,222 E 64th Street,New York,NY,10065,"222 E 64th Street, New York, NY 10065",,,LEED-CI v2009,7800.0,"Health Care: Outpatient, Office (Diagnostic)",North Shore LIJ Health System
OFS Brands NY Showroom,1250 Broadway,New York,NY,10001,"1250 Broadway, New York, NY 10001",Certified,2017-01-05 00:00:00,LEED-CI v2009,6211.0,Office: Mixed-Use,OFS Brands Inc
NYU- 433 1st Ave - Nursing and Dentistry,433 First Avenue,New York,NY,10016,"433 First Avenue, New York, NY 10016",Silver,2015-11-02 00:00:00,LEED-NC v2009,171165.0,Core Learning Space: College/University,New York University
GIA Laboratory and Educational Facility,50 West 47th Street,New York,NY,10036,"50 West 47th Street, New York, NY 10036",Gold,2014-11-11 00:00:00,LEED-CI v2009,65776.0,Laboratory,GIA
Heineken USA - NYC Office,245 Park Avenue,New York,NY,10167,"245 Park Avenue, New York, NY 10167",Certified,2013-08-12 00:00:00,LEED-CI v2009,29682.0,Office: Administrative/Professional,Heineken
142 West 57th Street,142 West 57th Street,New York,NY,10019,"142 West 57th Street, New York, NY 10019",,,LEED-EB:OM v2009,253187.0,Office: Mixed-Use,Met Tower Diamon Owner LLC
301 East 50th Street,301 East 50th Street,New York,NY,10022,"301 East 50th Street, New York, NY 10022",Gold,2018-10-05 00:00:00,LEED-NC v2009,144966.0,Multi-Family Residential: Apartment,SK Development
Pearson - 330 Hudson,330 Hudson,New York,NY,10013,"330 Hudson, New York, NY 10013",Gold,2014-12-16 00:00:00,LEED-CI v2009,143475.0,Office: Other Office,Pearson
1440 Broadway,1440 Broadway,New York,NY,10018,"1440 Broadway, New York, NY 10018",Gold,2013-05-06 00:00:00,LEED-EB:OM v2009,146313.0,Office: Administrative/Professional,Monday Properties
Turner and Townsend Ferzan Robbins NYC,220 Fifth Ave.,New York,NY,10001,"220 Fifth Ave., New York, NY 10001",,,LEED-CI v2009,7986.0,Office: Administrative/Professional,Turner & Townsend Ferzan Robbins
PNC Bank Branch - Port Authority,625 8th Avenue,New York,NY,10018,"625 8th Avenue, New York, NY 10018",Silver,2015-09-08 00:00:00,LEED-CI Retail v2009,4945.0,Retail: Bank Branch,The PNC Financial Services
Knoll New York Showroom,1330 Sixth Avenue,New York,NY,10019,"1330 Sixth Avenue, New York, NY 10019",Silver,2014-06-05 00:00:00,LEED-CI v2009,30175.0,Office: Other Office,"Knoll, Inc."
Museum of the City of New York - Phase 3,1220 Fifth Avenue,New York,NY,10029,"1220 Fifth Avenue, New York, NY 10029",Silver,2017-12-21 00:00:00,LEED-CI v2009,35065.0,Public Assembly: Other Assembly,NYC Dept Of Cultural Affairs/MCNY
475 Fifth Avenue,475 Fifth Avenue,New York,NY,10017,"475 Fifth Avenue, New York, NY 10017",Silver,2015-04-27 00:00:00,LEED-CS v2009,244758.0,Office: Mixed-Use,TIAA-CREF
New York Public Library 53rd St Branch,20 West 53rd Street,New York,NY,10019,"20 West 53rd Street, New York, NY 10019",Gold,2017-03-22 00:00:00,LEED-CI v2009,26683.0,Public Assembly: Library,New York Public Library
Permanent Mission of Trinidad and Tobago,"633 Third Avenue, 12th Floor",New York,NY,10017,"633 Third Avenue, 12th Floor, New York, NY 10017",Certified,2015-03-10 00:00:00,LEED-CI v2009,6167.0,Office: Government,Permanent Mission Of Trinidad And Tobago
Gods Love We Deliver Expansion,166 Avenue Of The Americas,New York,NY,10013,"166 Avenue Of The Americas, New York, NY 10013",Silver,2017-02-13 00:00:00,LEED-NC v2009,48500.0,Service: Other Service,Gods Love We Deliver
White Street,60-62 White Street,New York,NY,10013,"60-62 White Street, New York, NY 10013",,,LEED-NC v2009,25000.0,Multi-Family Residential: Condominium,"Tribeca White Street, LLC."
TD Bank - New York NY - 1709 Third Ave,1709 Third Avenue,New York,NY,10128,"1709 Third Avenue, New York, NY 10128",Gold,2013-09-24 00:00:00,LEED-CI Retail v2009,5084.0,Retail: Bank Branch,TD Bank
Battery Park City Pier A,22 Battery Place,New York,NY,10280,"22 Battery Place, New York, NY 10280",,,LEED-CI Retail v2009,31467.0,Retail: Restaurant/Cafeteria,The Dermot Company
Goldman Copeland Office,229 West 36th Street,New York,NY,10018,"229 West 36th Street, New York, NY 10018",,,LEED-CI v2009,8760.0,Office: Administrative/Professional,"Goldman Copeland Associates, P.C."
300 Lafayette,300 Lafayette Street,New York,NY,10012,"300 Lafayette Street, New York, NY 10012",,,LEED-CS v2009,82745.0,Retail: Other Retail,Paco Lafayette LLC
Chrysler East,666 Third Avenue,New York,NY,10017,"666 Third Avenue, New York, NY 10017",Gold,2013-12-12 00:00:00,LEED-EB:OM v2009,769420.0,Office: Administrative/Professional,Tishman Speyer
520 Madison,520 Madison,New York,NY,10022,"520 Madison, New York, NY 10022",Silver,2014-02-03 00:00:00,LEED-EB:OM v2009,1047777.0,Office: Mixed-Use,Tishman Speyer
